                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0432,                 3.1967,                 1.4776,                0.91678,                0.61503,                0.62864,                0.46724,                 1.2005,                 1.6833,                 1.2222,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.75076,                 1.6499,                 1.1469,                0.91678,                0.61503,                0.62864,                0.46724,                 1.2005,                 1.6833,                 1.2222,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.82223,                 2.1257,                  1.289,                0.91581,                0.61413,                 0.6276,                 0.4688,                 1.1848,                 1.6864,                 1.2166,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.81834,                 2.4271,                 1.3064,                0.91581,                0.61413,                 0.6276,                 0.4688,                 1.1848,                 1.6864,                 1.2166,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.63951,                  1.755,                 1.1949,                0.91642,                0.61511,                0.62599,                0.46602,                  1.178,                 1.6901,                 1.2101,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.59259,                 1.8178,                  1.172,                0.91642,                0.61511,                0.62599,                0.46602,                  1.178,                 1.6901,                 1.2101,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.68614,                 1.7188,                 1.1657,                0.90709,                0.61548,                0.62761,                0.46659,                 1.1832,                 1.7346,                 1.2147,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.81053,                 1.5435,                 1.1872,                0.90709,                0.61548,                0.62761,                0.46659,                 1.1832,                 1.7346,                 1.2147,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.51028,                 1.0031,                0.99589,                0.90538,                0.61043,                0.61953,                0.46331,                 1.1922,                 1.7362,                 1.2175,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.77196,                 1.4331,                 1.2129,                0.90538,                0.61043,                0.61953,                0.46331,                 1.1922,                 1.7362,                 1.2175,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 0.6729,                 1.6504,                 1.2026,                0.88145,                 0.5906,                0.59672,                0.46145,                 1.2111,                 1.7763,                 1.2251,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.63848,                 2.2748,                 1.2294,                0.88145,                 0.5906,                0.59672,                0.46145,                 1.2111,                 1.7763,                 1.2251,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.56403,                 1.1852,                 1.0583,                0.87786,                0.58881,                0.59576,                0.46196,                 1.2284,                 1.8269,                 1.2301,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.62493,                0.94735,                 1.0862,                0.87786,                0.58881,                0.59576,                0.46196,                 1.2284,                 1.8269,                 1.2301,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.45529,                 1.4794,                 1.0433,                0.88032,                0.59396,                0.59471,                0.46336,                 1.2361,                 1.8598,                  1.233,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.95016,                 2.1411,                 1.4371,                0.88032,                0.59396,                0.59471,                0.46336,                 1.2361,                 1.8598,                  1.233,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.58914,                 1.2239,                 1.1216,                0.88197,                0.59548,                0.59574,                0.46356,                 1.2434,                 1.8928,                 1.2322,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.65339,                 1.0814,                 1.1021,                0.88197,                0.59548,                0.59574,                0.46356,                 1.2434,                 1.8928,                 1.2322,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.74103,                 1.4803,                 1.2203,                0.90248,                0.61133,                0.62268,                0.46292,                 1.2745,                 1.9504,                  1.239,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.55003,                 1.4004,                 1.1378,                0.90248,                0.61133,                0.62268,                0.46292,                 1.2745,                 1.9504,                  1.239,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.83527,                 2.2115,                 1.3249,                0.90248,                0.61133,                0.62268,                0.46292,                 1.2745,                 1.9504,                  1.239,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.51294,                 1.0769,                 1.0417,                0.87257,                0.59336,                 0.5961,                0.46006,                 1.2906,                 1.9816,                  1.244,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.74629,                 1.5162,                 1.2653,                0.87257,                0.59336,                 0.5961,                0.46006,                 1.2906,                 1.9816,                  1.244,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.71556,                 1.7083,                 1.1839,                0.87257,                0.59336,                 0.5961,                0.46006,                 1.2906,                 1.9816,                  1.244,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.58626,                  1.103,                 1.1354,                0.86241,                0.58476,                 0.5978,                0.45978,                 1.2942,                 1.9488,                 1.2481,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.75166,                 1.2884,                 1.2502,                0.86241,                0.58476,                 0.5978,                0.45978,                 1.2942,                 1.9488,                 1.2481,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.61784,                 1.2371,                 1.1594,                0.86241,                0.58476,                 0.5978,                0.45978,                 1.2942,                 1.9488,                 1.2481,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.69045,                0.84676,                 1.0938,                0.86699,                 0.5786,                0.59623,                0.47575,                 1.2988,                 2.0002,                 1.2425,               2.92e-05,               2.92e-05,               2.92e-05
