                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0486,                 3.2138,                 1.4828,                0.92204,                0.61536,                 0.6276,                0.46693,                 1.1889,                 1.6856,                 1.2167,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.74587,                 1.6584,                 1.1431,                0.92204,                0.61536,                 0.6276,                0.46693,                 1.1889,                 1.6856,                 1.2167,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.82241,                 2.1724,                 1.2873,                0.92443,                0.61355,                0.62761,                 0.4688,                 1.1819,                 1.6756,                 1.2136,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.82212,                 2.4399,                 1.3119,                0.92443,                0.61355,                0.62761,                 0.4688,                 1.1819,                 1.6756,                 1.2136,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.64614,                 1.8132,                 1.1999,                0.92487,                0.61537,                0.62547,                0.46485,                 1.1698,                 1.6834,                 1.2071,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 0.5481,                 1.7562,                 1.1386,                0.92487,                0.61537,                0.62547,                0.46485,                 1.1698,                 1.6834,                 1.2071,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.67855,                 1.7507,                 1.1599,                0.92106,                 0.6147,                 0.6179,                  0.462,                 1.1767,                  1.694,                 1.2091,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.81708,                 1.5362,                  1.182,                0.92106,                 0.6147,                 0.6179,                  0.462,                 1.1767,                  1.694,                 1.2091,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 0.4985,                0.99713,                0.98972,                0.91878,                0.61428,                0.61581,                0.46302,                 1.1851,                 1.6974,                 1.2148,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.75638,                  1.417,                 1.2056,                0.91878,                0.61428,                0.61581,                0.46302,                 1.1851,                 1.6974,                 1.2148,             2.8986e-05,             2.8986e-05,             2.8986e-05
